"initial_alias","converted_alias","name","description","namespace"
"THBS2","7058","THBS2","thrombospondin 2 [Source:HGNC Symbol;Acc:HGNC:11786]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRDX3","10935","PRDX3","peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KLK14","43847","KLK14","kallikrein related peptidase 14 [Source:HGNC Symbol;Acc:HGNC:6362]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACOXL","55289","ACOXL","acyl-CoA oxidase like [Source:HGNC Symbol;Acc:HGNC:25621]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VPREB1","7441","VPREB1","V-set pre-B cell surrogate light chain 1 [Source:HGNC Symbol;Acc:HGNC:12709]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RIC1","57589","RIC1","RIC1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:17686]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYP2D6*1,","None","None","None",""
"CYP2D6*10,","None","None","None",""
"CYP2D6*2,","None","None","None",""
"CYP2D6*4,","None","None","None",""
"CYP2D6*41,","None","None","None",""
"CYP2D6*5,","None","None","None",""
"CYP2D6*6","None","None","None",""
"DISC1","27185","DISC1","DISC1 scaffold protein [Source:HGNC Symbol;Acc:HGNC:2888]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYP2A6","1548","CYP2A6","cytochrome P450 family 2 subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:2610]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VANGL1","81839","VANGL1","VANGL planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:15512]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMBP","259","AMBP","alpha-1-microglobulin/bikunin precursor [Source:HGNC Symbol;Acc:HGNC:453]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HRG","3273","HRG","histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CACNB3","784","CACNB3","calcium voltage-gated channel auxiliary subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:1403]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PHC3","80012","PHC3","polyhomeotic homolog 3 [Source:HGNC Symbol;Acc:HGNC:15682]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HIF3A","64344","HIF3A","hypoxia inducible factor 3 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15825]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RASA4","10156","RASA4","RAS p21 protein activator 4 [Source:HGNC Symbol;Acc:HGNC:23181]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RASA4","100271927","RASA4B","RAS p21 protein activator 4B [Source:HGNC Symbol;Acc:HGNC:35202]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RASA4","10156","RASA4B","RAS p21 protein activator 4B [Source:HGNC Symbol;Acc:HGNC:35202]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MEFV","4210","MEFV","MEFV innate immuity regulator, pyrin [Source:HGNC Symbol;Acc:HGNC:6998]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF7","79869","CPSF7","cleavage and polyadenylation specific factor 7 [Source:HGNC Symbol;Acc:HGNC:30098]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:BQO5HNLJVNEFH3MN6YDNFHQEQWE","None","None","None",""
"ZNF133","7692","ZNF133","zinc finger protein 133 [Source:HGNC Symbol;Acc:HGNC:12917]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HGD","3081","HGD","homogentisate 1,2-dioxygenase [Source:HGNC Symbol;Acc:HGNC:4892]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCL28","56477","CCL28","C-C motif chemokine ligand 28 [Source:HGNC Symbol;Acc:HGNC:17700]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRT86","3892","KRT86","keratin 86 [Source:HGNC Symbol;Acc:HGNC:6463]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATAD3A","55210","ATAD3A","ATPase family AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANGPT2","285","ANGPT2","angiopoietin 2 [Source:HGNC Symbol;Acc:HGNC:485]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANOS1","3730","ANOS1","anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UNIPROTKB:Q6PJ05","None","None","None",""
"HDC","3067","HDC","histidine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4855]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NDUFB10","4716","NDUFB10","NADH:ubiquinone oxidoreductase subunit B10 [Source:HGNC Symbol;Acc:HGNC:7696]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PCYT1B","9468","PCYT1B","phosphate cytidylyltransferase 1B, choline [Source:HGNC Symbol;Acc:HGNC:8755]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"REN","5972","REN","renin [Source:HGNC Symbol;Acc:HGNC:9958]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RCC2","55920","RCC2","regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:HGNC:30297]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HUS1","3364","HUS1","HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFNB1","1947","EFNB1","ephrin B1 [Source:HGNC Symbol;Acc:HGNC:3226]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GALC","2581","GALC","galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CATSPERD","257062","CATSPERD","cation channel sperm associated auxiliary subunit delta [Source:HGNC Symbol;Acc:HGNC:28598]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CORO7","79585","CORO7","coronin 7 [Source:HGNC Symbol;Acc:HGNC:26161]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MT3","4504","MT3","metallothionein 3 [Source:HGNC Symbol;Acc:HGNC:7408]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LMO1","4004","LMO1","LIM domain only 1 [Source:HGNC Symbol;Acc:HGNC:6641]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CA5B","11238","CA5B","carbonic anhydrase 5B [Source:HGNC Symbol;Acc:HGNC:1378]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BCL6B","255877","BCL6B","BCL6B transcription repressor [Source:HGNC Symbol;Acc:HGNC:1002]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR10G9","219870","OR10G9","olfactory receptor family 10 subfamily G member 9 [Source:HGNC Symbol;Acc:HGNC:15129]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAD23A","5886","RAD23A","RAD23 homolog A, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9812]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DDX3X","1654","DDX3X","DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PYGL","5836","PYGL","glycogen phosphorylase L [Source:HGNC Symbol;Acc:HGNC:9725]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C1S","716","C1S","complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRKAR1B","5575","PRKAR1B","protein kinase cAMP-dependent type I regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9390]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOL3","8996","NOL3","nucleolar protein 3 [Source:HGNC Symbol;Acc:HGNC:7869]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCL2","6347","CCL2","C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IGKV1D-33","None","None","None",""
"FBXL7","23194","FBXL7","F-box and leucine rich repeat protein 7 [Source:HGNC Symbol;Acc:HGNC:13604]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR4K13","390433","OR4K13","olfactory receptor family 4 subfamily K member 13 [Source:HGNC Symbol;Acc:HGNC:15351]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:XQH3TEQ+41D48SD31KODNJDV1IO","None","None","None",""
"OGT","8473","OGT","O-linked N-acetylglucosamine (GlcNAc) transferase [Source:HGNC Symbol;Acc:HGNC:8127]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ERBB2IP","None","None","None",""
"RPL36A","6173","RPL36A","ribosomal protein L36a [Source:HGNC Symbol;Acc:HGNC:10359]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZGPAT","84619","ZGPAT","zinc finger CCCH-type and G-patch domain containing [Source:HGNC Symbol;Acc:HGNC:15948]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OPN1MW","2652","OPN1MW","opsin 1, medium wave sensitive [Source:HGNC Symbol;Acc:HGNC:4206]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GNG12","55970","GNG12","G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSD17B14","51171","HSD17B14","hydroxysteroid 17-beta dehydrogenase 14 [Source:HGNC Symbol;Acc:HGNC:23238]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL49","740","MRPL49","mitochondrial ribosomal protein L49 [Source:HGNC Symbol;Acc:HGNC:1176]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR6B1","135946","OR6B1","olfactory receptor family 6 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:8354]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MARK1","4139","MARK1","microtubule affinity regulating kinase 1 [Source:HGNC Symbol;Acc:HGNC:6896]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FCHSD2","9873","FCHSD2","FCH and double SH3 domains 2 [Source:HGNC Symbol;Acc:HGNC:29114]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SSB","6741","SSB","small RNA binding exonuclease protection factor La [Source:HGNC Symbol;Acc:HGNC:11316]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DIO1","1733","DIO1","iodothyronine deiodinase 1 [Source:HGNC Symbol;Acc:HGNC:2883]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYBPC3","4607","MYBPC3","myosin binding protein C3 [Source:HGNC Symbol;Acc:HGNC:7551]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FADS2","9415","FADS2","fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TIMMDC1","51300","TIMMDC1","translocase of inner mitochondrial membrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1321]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NIFK","84365","NIFK","nucleolar protein interacting with the FHA domain of MKI67 [Source:HGNC Symbol;Acc:HGNC:17838]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFT81","28981","IFT81","intraflagellar transport 81 [Source:HGNC Symbol;Acc:HGNC:14313]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IGFBP3","3486","IGFBP3","insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EYA3","2140","EYA3","EYA transcriptional coactivator and phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3521]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C12ORF29","91298","C12orf29","chromosome 12 open reading frame 29 [Source:HGNC Symbol;Acc:HGNC:25322]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRCC","5546","PRCC","proline rich mitotic checkpoint control factor [Source:HGNC Symbol;Acc:HGNC:9343]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APOA1","335","APOA1","apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPHA7","2045","EPHA7","EPH receptor A7 [Source:HGNC Symbol;Acc:HGNC:3390]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PGK1","5230","PGK1","phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:0XX0WMERJSHZ9HE7UHAIARNBYOM","None","None","None",""
"SCARF1","8578","SCARF1","scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR5D18","219438","OR5D18","olfactory receptor family 5 subfamily D member 18 [Source:HGNC Symbol;Acc:HGNC:15285]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAL2","114569","MAL2","mal, T cell differentiation protein 2 [Source:HGNC Symbol;Acc:HGNC:13634]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAP3K5","4217","MAP3K5","mitogen-activated protein kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6857]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUP155","9631","NUP155","nucleoporin 155 [Source:HGNC Symbol;Acc:HGNC:8063]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC73","79577","CDC73","cell division cycle 73 [Source:HGNC Symbol;Acc:HGNC:16783]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NRAS","4893","NRAS","NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:W44ESEN77QORQHJFDXSN/7BMQWY","None","None","None",""
"VPS37B","79720","VPS37B","VPS37B subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:25754]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NAA35","60560","NAA35","N-alpha-acetyltransferase 35, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:24340]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DCUN1D1","54165","DCUN1D1","defective in cullin neddylation 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18184]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FOXH1","8928","FOXH1","forkhead box H1 [Source:HGNC Symbol;Acc:HGNC:3814]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C1QL3","389941","C1QL3","complement C1q like 3 [Source:HGNC Symbol;Acc:HGNC:19359]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCARB2","950","SCARB2","scavenger receptor class B member 2 [Source:HGNC Symbol;Acc:HGNC:1665]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDH1","999","CDH1","cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CXXC1","30827","CXXC1","CXXC finger protein 1 [Source:HGNC Symbol;Acc:HGNC:24343]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMC1","None","None","None",""
"MPDZ","8777","MPDZ","multiple PDZ domain crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:7208]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UFD1L","7353","UFD1","ubiquitin recognition factor in ER associated degradation 1 [Source:HGNC Symbol;Acc:HGNC:12520]","UNIPROT_GN"
"ABCC2","1244","ABCC2","ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"YOD1","55432","YOD1","YOD1 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:25035]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C15ORF39","56905","C15orf39","chromosome 15 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:24497]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZCCHC17","51538","ZCCHC17","zinc finger CCHC-type containing 17 [Source:HGNC Symbol;Acc:HGNC:30246]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRMT1","3276","PRMT1","protein arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5187]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SERINC1","57515","SERINC1","serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LPIN3","64900","LPIN3","lipin 3 [Source:HGNC Symbol;Acc:HGNC:14451]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL28","10573","MRPL28","mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHAF1A","10036","CHAF1A","chromatin assembly factor 1 subunit A [Source:HGNC Symbol;Acc:HGNC:1910]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM83D","81610","FAM83D","family with sequence similarity 83 member D [Source:HGNC Symbol;Acc:HGNC:16122]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AVPI1","60370","AVPI1","arginine vasopressin induced 1 [Source:HGNC Symbol;Acc:HGNC:30898]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSMA7","5688","PSMA7","proteasome 20S subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:9536]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRSS41","360226","PRSS41","serine protease 41 [Source:HGNC Symbol;Acc:HGNC:30715]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:Z1Q1OPMTEU4ODM5KY/AZQA4HGUA","None","None","None",""
"S100A13","6284","S100A13","S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OSGEP","55644","OSGEP","O-sialoglycoprotein endopeptidase [Source:HGNC Symbol;Acc:HGNC:18028]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AJUBA","84962","AJUBA","ajuba LIM protein [Source:HGNC Symbol;Acc:HGNC:20250]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIAP1","51499","TRIAP1","TP53 regulated inhibitor of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:26937]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HERC4","26091","HERC4","HECT and RLD domain containing E3 ubiquitin protein ligase 4 [Source:HGNC Symbol;Acc:HGNC:24521]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCL21","6366","CCL21","C-C motif chemokine ligand 21 [Source:HGNC Symbol;Acc:HGNC:10620]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GPCPD1","56261","GPCPD1","glycerophosphocholine phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:26957]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IVNS1ABP","10625","IVNS1ABP","influenza virus NS1A binding protein [Source:HGNC Symbol;Acc:HGNC:16951]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARHGEF16","27237","ARHGEF16","Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EED","8726","EED","embryonic ectoderm development [Source:HGNC Symbol;Acc:HGNC:3188]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APOBR","55911","APOBR","apolipoprotein B receptor [Source:HGNC Symbol;Acc:HGNC:24087]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSP82","None","None","None",""
"GBF1","8729","GBF1","golgi brefeldin A resistant guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4181]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANK2","287","ANK2","ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ETV5","2119","ETV5","ETS variant transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3494]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATG9A","79065","ATG9A","autophagy related 9A [Source:HGNC Symbol;Acc:HGNC:22408]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BBS1","582","BBS1","Bardet-Biedl syndrome 1 [Source:HGNC Symbol;Acc:HGNC:966]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPIH","10465","PPIH","peptidylprolyl isomerase H [Source:HGNC Symbol;Acc:HGNC:14651]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOC4L","79050","NOC4L","nucleolar complex associated 4 homolog [Source:HGNC Symbol;Acc:HGNC:28461]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TOR1AIP2","163590","TOR1AIP2","torsin 1A interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24055]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BCAS2","10286","BCAS2","BCAS2 pre-mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:975]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DIS3","22894","DIS3","DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease [Source:HGNC Symbol;Acc:HGNC:20604]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DDAH2","23564","DDAH2","dimethylarginine dimethylaminohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:2716]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CKS2","1164","CKS2","CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RNGTT","8732","RNGTT","RNA guanylyltransferase and 5'-phosphatase [Source:HGNC Symbol;Acc:HGNC:10073]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUP43","348995","NUP43","nucleoporin 43 [Source:HGNC Symbol;Acc:HGNC:21182]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OLA1","29789","OLA1","Obg like ATPase 1 [Source:HGNC Symbol;Acc:HGNC:28833]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NR4A2","4929","NR4A2","nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SARNP","84324","SARNP","SAP domain containing ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:24432]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PIK3R6","146850","PIK3R6","phosphoinositide-3-kinase regulatory subunit 6 [Source:HGNC Symbol;Acc:HGNC:27101]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LAT","27040","LAT","linker for activation of T cells [Source:HGNC Symbol;Acc:HGNC:18874]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C14ORF169","None","None","None",""
"DROSHA","29102","DROSHA","drosha ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17904]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR3A1","4994","OR3A1","olfactory receptor family 3 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8282]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NKD1","85407","NKD1","NKD inhibitor of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:17045]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MEAF6","64769","MEAF6","MYST/Esa1 associated factor 6 [Source:HGNC Symbol;Acc:HGNC:25674]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"Q6LED0","None","None","None",""
"STS","412","STS","steroid sulfatase [Source:HGNC Symbol;Acc:HGNC:11425]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LSMEM1","286006","LSMEM1","leucine rich single-pass membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:22036]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
